Date,Actual,Expected,Anomaly_Score,Note
2025-05-10,9655,8767.3,887.7353515625,Weekend
2025-05-11,10175,8950.3,1224.7177734375,Weekend
2025-05-12,9739,9219.4,519.568359375,Back to Work
2025-05-13,8371,8883.5,512.462890625,-
2025-05-16,8517,8294.3,222.6767578125,-
2025-05-17,9913,8901.0,1011.9638671875,Weekend
2025-05-18,9790,7660.9,2129.05908203125,Weekend
2025-05-19,9207,9041.3,165.7001953125,Back to Work
2025-05-20,9187,9033.6,153.3984375,-
2025-05-22,3667,4336.8,669.75537109375,-
2025-05-23,8564,9298.6,734.6201171875,-
2025-05-24,8117,7989.8,127.2421875,Weekend
2025-05-25,8693,8279.1,413.91796875,Weekend
2025-05-26,8876,8714.7,161.3388671875,Memorial Day
2025-05-27,9339,8848.7,490.2900390625,Back to Work
2025-05-29,1379,4832.6,3453.62744140625,End of Month
2025-05-30,9318,9464.6,146.619140625,End of Month
2025-05-31,8702,8062.1,639.89404296875,Weekend
2025-06-01,9141,8106.2,1034.7978515625,Weekend
2025-06-02,9020,8866.6,153.419921875,Start of Month
2025-06-03,9002,8842.0,160.0224609375,Start of Month
2025-06-05,1306,5242.0,3936.00146484375,-
2025-06-06,9849,9706.2,142.8486328125,-
2025-06-07,8870,8203.3,666.7275390625,Weekend
2025-06-08,9128,8372.4,755.6005859375,Weekend
2025-06-09,8655,8891.3,236.2548828125,Back to Work
2025-06-10,8798,8946.3,148.3046875,-
2025-06-12,8736,5287.7,3448.2890625,-
2025-06-13,9242,8813.9,428.0654296875,-
2025-06-14,7529,7825.7,296.669921875,Weekend
2025-06-15,8076,8423.2,347.2177734375,Weekend
2025-06-16,8075,9362.5,1287.4794921875,Back to Work
2025-06-17,7732,9234.8,1502.8037109375,-
2025-06-19,500,5294.8,4794.83447265625,Juneteenth National Independence Day
2025-06-20,9033,9780.5,747.52734375,Back to Work
2025-06-21,9382,9100.6,281.4462890625,Weekend
2025-06-22,9095,8788.2,306.826171875,Weekend
2025-06-23,9981,9213.2,767.798828125,Back to Work
2025-06-24,10817,8944.7,1872.3330078125,-
2025-06-26,6406,7616.3,1210.34619140625,-
2025-06-27,8689,8898.4,209.396484375,-
2025-06-28,8570,7972.9,597.1455078125,Weekend
2025-06-29,8961,8196.5,764.4765625,Weekend
2025-06-30,8737,9401.5,664.5087890625,End of Month
2025-07-01,7967,9308.4,1341.3818359375,Start of Month
2025-07-03,3003,5622.4,2619.3515625,Start of Month
2025-07-04,10736,9258.3,1477.666015625,Independence Day
2025-07-05,10725,7941.7,2783.28466796875,Weekend
2025-07-06,8613,8235.5,377.484375,Weekend
2025-07-07,8185,8822.2,637.189453125,Back to Work
2025-07-08,8221,8532.9,311.8955078125,-
2025-07-10,6710,7847.1,1137.0546875,-
2025-07-11,8461,8893.9,432.91015625,-
2025-07-12,8647,7897.0,749.97900390625,Weekend
2025-07-13,8970,8068.4,901.6044921875,Weekend
2025-07-14,8090,8673.1,583.0830078125,Back to Work
2025-07-15,8437,8542.5,105.501953125,-
2025-07-17,6141,6591.5,450.5029296875,-
2025-07-18,8679,7886.6,792.4013671875,-
2025-07-19,8624,7776.7,847.2822265625,Weekend
2025-07-20,8750,7798.5,951.51953125,Weekend
2025-07-21,8691,8568.0,123.0146484375,Back to Work
2025-07-22,8640,8536.8,103.2109375,-
2025-07-24,4875,4645.7,229.2685546875,-
2025-07-25,8549,7690.7,858.306640625,-
2025-07-26,8930,7666.3,1263.7138671875,Weekend
2025-07-27,9105,7662.7,1442.255859375,Weekend
2025-07-28,9023,8693.6,329.4365234375,End of Month
2025-07-29,8876,8733.3,142.6923828125,End of Month
2025-07-30,8083,8385.9,302.8505859375,End of Month
